verified,name,location,user_id,username,withheld.country_codes,edit_history_tweet_ids,source,possibly_sensitive,created_at,tweet_id,text,lang,withheld.copyright,withheld.country_codes,type,geo.coordinates.type,geo.coordinates.coordinates
False,tomas LNDA -10,"él, 19",1312621708126367745,evermorehigh,,['1597299146960306176'],Twitter for Android,False,2022-11-28 18:39:27+00:00,1597299146960306176,"todos los becerros cuando maria becerra estrene su álbum ""LA NENA DE ARGENTINA"" https://t.co/32A6vpwebZ",es,,,,,
False,Blopa Vil,Ciudad Autónoma de Buenos Aire,4822781128,VilBlop,,['1597299146192736257'],Twitter for Android,False,2022-11-28 18:39:27+00:00,1597299146192736257,"@_LauraDiMarco De esos 20, tomando el período 2002-15 Argentina había conquistado el salario +alto en U$s de LatAm y (Dujovne dixit) ""deuda ridiculam. baja"" hasta q llegó el gángster mafioso #MacriMufa q NOS FUNDIÓ en deuda hasta el default y ahora te paga para mentir q fue otro q #MacriEsMufa",es,,,replied_to,,
False,Alan .- 🇷🇺,"Monterrey, Nuevo León",2996055455,rapidsloader,,['1597299144888299522'],Twitter Web App,False,2022-11-28 18:39:27+00:00,1597299144888299522,"@azulado97 @edutorresr @Antonio_Nelli Nono, hipócrita sería si se hubiera ""disgustado"" por los goles de Argentina o celebrado los hipotéticos goles de México. Cerrando el comentario, para mí La Volpe es el único DT argentino medianamente conocido que siente realmente la bandera mexicana por encima de la argentina.",es,,,replied_to,,
False,INE,,1546154614881386497,INE35549636,,['1597299138843971585'],Twitter for iPhone,False,2022-11-28 18:39:25+00:00,1597299138843971585,"@edufeiok Que es un chiste de mal gusto ,que este país es el reino del revés ,no hay caso argentina es un bello país pero la gente no sirve",es,,,replied_to,,
False,Luciano,"Split, croatia",759440827944960000,lucianoakme,,['1597299133072965633'],Twitter for iPhone,False,2022-11-28 18:39:24+00:00,1597299133072965633,@Eldi2 @BrunoDigennaro9 @AlvaritoMorales Es solo un partido de fútbol que le tocó ganar a Argentina…para que involucrar otras cuestiones???…no hace falta muchachos…abrazo!,es,,,replied_to,,
False,Dênisson Coutinho,,1501283551383195649,DnissonCoutinh1,,['1597299131847843840'],Twitter for Android,False,2022-11-28 18:39:24+00:00,1597299131847843840,@kaeldelaj @brunoformiga Então a Suíça é melhor que a França e a Arábia Saudita é mais time que a Argentina campeã da Copa América.,pt,,,replied_to,,
False,Suco De Frutaᶜʳᶠ,,1426531629292560388,SucoDeFruta2019,,['1597299130883534848'],Twitter for Android,False,2022-11-28 18:39:23+00:00,1597299130883534848,"o problema é quando sai atrás do resultado, como contra a Bélgica e Argentina na copa América https://t.co/OdHatA5zRG",pt,,,quoted,,
False,Turi Digiovani,"Mendoza, Argentina",757730794056085504,turonferoz,,['1597299128568262656'],Twitter for Android,False,2022-11-28 18:39:23+00:00,1597299128568262656,@4ndyWS Si si pero no lleven al gato a los partidos de Argentina o serán la familia mufeti,es,,,replied_to,,
False,Politimía,Argentina,1564331154643222528,Politimia23,,['1597299127032766464'],Twitter for iPhone,False,2022-11-28 18:39:22+00:00,1597299127032766464,"También el economista definió que: El plan para que Argentina salga adelante no es negociable: implica una reforma del Estado, bajar el gasto público y un ajuste que en vez de caer sobre la gente caiga sobre la casta política"".",es,,,replied_to,,
False,AD 🏴󠁧󠁢󠁥󠁮󠁧󠁿🇪🇦🇦🇷,,1210661757116653570,BavarianAD,,['1597299122356178946'],Twitter for Android,False,2022-11-28 18:39:21+00:00,1597299122356178946,@bayernhost I just realised you wanted me to remove it because you want Argentina to win it loooool,en,,,replied_to,,
True,C5N,"Buenos Aires, Argentina",152325528,C5N,,['1597299118715834370'],Twitter Web App,False,2022-11-28 18:39:20+00:00,1597299118715834370,"⚽ Qatar 2022

💸 Piden 3000 dólares una entrada para Argentina vs. Polonia

🔴 Seguí #Argenzuela [EN VIVO] https://t.co/9fxDe5Kt8s https://t.co/oqxsn6z5T7",es,,,replied_to,,
False,Manolito,,1066910856754151424,antitodo_02,,['1597299113791717376'],Twitter for Android,False,2022-11-28 18:39:19+00:00,1597299113791717376,@SoySteveStifler Como rompen las bolas con que los k son mufas o que Mauricio es mufa o al lado de quien se sienta cada uno con los problemas que hay en Argentina A QUIEN CHOTA LE IMPORTA QUIEN ESTE EN EL ESTADIO!!!,es,,,replied_to,,
