verified,username,user_id,location,name,source,tweet_id,possibly_sensitive,created_at,lang,edit_history_tweet_ids,text,type,geo.coordinates.type,geo.coordinates.coordinates
False,ginesacapulco,235761467,Acapulco,Ginés Sanchez 🌴,Twitter for Android,1597301144790761474,False,2022-11-28 18:47:23+00:00,es,['1597301144790761474'],"#SeleccionMexicana #Qatar2022 🇶🇦

Televisa otra vez le ganó a TV Azteca; México-Argentina, el partido más visto de la historia  https://t.co/YH0NynrDMS",,,
True,SoyReferee,3015478162,Ciudad de México,SoyReferee,TweetDeck,1597300604732379143,False,2022-11-28 18:45:15+00:00,es,['1597300604732379143'],"¡AH, CARAY! 😅

Ricardo La Volpe y Mauro Camoranesi protagonizaron un divertido momento cuando discutían sobre la importancia de que la #SeleccionMexicana llegue al quinto partido en #Qatar2022 🇲🇽

También le mandaron un duro mensaje a la Liga MX 👀

https://t.co/GMzKDhEbbY",,,
True,ImagenTVDeporte,781234217074106369,Mexico,Imagen Deportes,Yuzzit Pro,1597298887953350657,False,2022-11-28 18:38:25+00:00,es,['1597298887953350657'],"Muchos aficionados de la #SelecciónMexicana ponen a la venta sus boletos para el partido de #México vs #ArabiaSaudita. 

#TodoSobreQatar https://t.co/ICrv7e6OtY",,,
False,_ManuelV_,719650468486651904,Aún sin lugar fijo,Manuel Vega,Twitter Web App,1597298589503746048,False,2022-11-28 18:37:14+00:00,es,['1597298589503746048'],"Mientras tanto las princesitas de la mal llamada #SeleccionMexicana solo tienen en mente retratarse ellos y sus parientes con los jugadores que sí anotan goles
Pero bueno, que puede esperarse si la afición aún así los recibirá como si regresaran con la #CopaMundial
@miseleccionmx https://t.co/j8GkJhZ62X",quoted,,
False,PabloAr79006828,1175581870001725440,Cdmx,Pablo Arteaga,Twitter for Android,1597298469970284544,False,2022-11-28 18:36:46+00:00,es,['1597298469970284544'],Que nos manden uno a la #SeleccionMexicana y unos para equipos de la @FEMEXFUTAC por qué no dan una en eso de los delanteros! https://t.co/5oc1AnzRb3,quoted,,
False,Elmexicanissimo,1331504241341587456,"Portales Norte, Benito Juárez",Mexicano Irreverente,Twitter for Android,1597297552654995456,False,2022-11-28 18:33:07+00:00,es,['1597297552654995456'],"Es que se veía venir! No lo notaron? 
El Tata vino de vacaciones, igual que Eriksson en el 2008, la diferencia es que a Eriksson lo mandaron a la mierda en 10 meses y el tata ya lleva casi 3 años de vividor.
#SeleccionMexicana #mexico #Qatar2022 #Mundial2022",,,
False,mexnewz,2674163930,México,MexNews Digital ,RADAAR,1597297103239118848,False,2022-11-28 18:31:20+00:00,es,['1597297103239118848'],#CaneloÁlvarez advierte a #Messi en las redes sociales por patear playera de la #SelecciónMexicana | #Deportes #Nacional #Internacional #Canelo #Qatar2022 https://t.co/92YtWDitYh https://t.co/7iTbyAuW93,,,
True,info7mty,65579025,"Monterrey, México",INFO7,Twitter Web App,1597295883389128704,False,2022-11-28 18:26:29+00:00,es,['1597295883389128704'],"Tras amenaza a Messi, Sergio 'Kun' Agüero y Cesc Fabregas responden al ‘Canelo’ Álvarez.
https://t.co/NppixxwYeJ

#INFO7 #INFO7Deportes #Canelo #Messi #CopaMundialFIFA #Mundial2022 #SeleccionArgentina  #seleccionmexicana https://t.co/VCrudpTl4H",,,
False,Leospezia,923270760067502080,"Puebla, México",Leo Saurio 🦖,Twitter Web App,1597295383818141696,False,2022-11-28 18:24:30+00:00,es,['1597295383818141696'],¿Díganme sino extrañan a esta leyenda del Chicharito en la delantera de México? #Fracaso #Tata #YonDeLuisa #SeleccionMexicana https://t.co/8qdQMp06Sz,,,
False,tlacoache_mx,1168050406389403648,"Suchue, Gro. Méx.",1̴̸̴̡̢̛͎̖̟̣̗̣̗͈͍̯̖̰͎̝͛̑̄͆͊̐̽̀̔̇̓͒̈́̅̾ۗۗۗ͘̕1̴̛͛̑̄ۗۗ,Twitter Web App,1597295383302242304,False,2022-11-28 18:24:30+00:00,es,['1597295383302242304'],Lamediocre #SeleccionMexicana a la Selección de #Brasil ya en los octavos de finales. https://t.co/rhisRaKL2h,,,
