user_id,verified,name,username,location,text,tweet_id,created_at,edit_history_tweet_ids,possibly_sensitive,source,lang,type,geo.coordinates.type,geo.coordinates.coordinates
1005032660,FALSE,Marvin Rodriguez A,MarvinMaroa,,@burrovan Argentina 🇦🇷!!! Brasil 🇧🇷!!!,1.60E+18,2022-11-28 18:37:24+00:00,['1597298629521571841'],FALSE,Twitter for iPhone,pt,replied_to,,
516081722,FALSE,Miriam Pelosi,miriampelosi,"Rosario, Argentina",@Politica_ln Exabrupto? Contra la sociedad argentina??? Jajajaj...Solo dice la verdad. Coincido totalmente con los dichos de Luis Juez,1.60E+18,2022-11-28 18:37:24+00:00,['1597298629370294272'],FALSE,Twitter for Android,es,replied_to,,
1.39E+18,FALSE,insanekim,norengoth,any pronoun,eu indo falar pro meu irmao CE VIU NE O ITALO TA NA ARGENTINA e meu irmao rindo falando eu sei acabei de sair pq fiquei com mt vergonha alheia,1.60E+18,2022-11-28 18:37:24+00:00,['1597298628691099648'],FALSE,Twitter Web App,pt,,,
1.26E+18,FALSE,Emanuel Luis Carlos Soruco,EmanuelLuisCar3,,"@Canelo estos es argentina, se toca a messi , se toca al pais. No se gane hate al pedo, observe bien, pregunte. Hacer polemica por nada.",1.60E+18,2022-11-28 18:37:23+00:00,['1597298626635579392'],FALSE,Twitter Web App,es,replied_to,,
8.68E+17,FALSE,Ing. Xeneize,BoquenseCode,,"@cdl522 @SizweLo I don't have google, I live in Argentina and I know 97% of the population is not white. Are you really trying to explain what my race is? Do they look white to you? https://t.co/HNwLQSQaqt",1.60E+18,2022-11-28 18:37:23+00:00,['1597298625822228480'],FALSE,Twitter Web App,en,replied_to,,
1.43E+18,FALSE,Lionel villar,VillarLionel,"Lanús Oeste, Argentina","@porquetendencia 1-0 a Suiza que no tiene  nada, si hubiera sido Argentina todavía estarían puteando a los jugadores. Como les gusta chuparsela a Brasil",1.60E+18,2022-11-28 18:37:22+00:00,['1597298623431118849'],FALSE,Twitter for Android,es,replied_to,,
9.35E+17,FALSE,🇦🇪Dazzling سيندي🇧🇷🇵🇹,natty_queeny,"الشارقة, الامارات العربية المت",@jamrick_ @itsjackfr At the end of the day ni argentina tu itabeba🤣,1.60E+18,2022-11-28 18:37:21+00:00,['1597298618616410112'],FALSE,Twitter for Android,en,replied_to,,
134090861,FALSE,Daniel Ocampo🇺🇾,danyblue34,COLONIA DEL SACRAMENTO URUGUAY,@SeUruguay Y Argentina  entre los primeros  10 que triste,1.60E+18,2022-11-28 18:37:21+00:00,['1597298617366491142'],FALSE,Twitter for Android,es,replied_to,,
1.52E+18,FALSE,ch@rlie,siIenthilI2,26. she/her/ella,@leevokz fun fact es argentina aunque estuvo viviendo en inglaterra creo y escuché su música porque un día apareció en mi fyp,1.60E+18,2022-11-28 18:37:20+00:00,['1597298613507436544'],FALSE,Twitter for Android,es,replied_to,,
205358974,FALSE,léna 🇫🇷🇩🇪,divinemeghn,,"@sweetboyjk noo i meant that if you beat your opponent in the R16 and france beat argentina in the R16, we’re mostly likely going to meet in the quarters 💀",1.60E+18,2022-11-28 18:37:20+00:00,['1597298613436416001'],FALSE,Twitter for iPhone,en,replied_to,,
371138750,FALSE,Kalebe Chaves,kalebe_chaves,,Ainda estou me recuperando da ressaca do jogo da Argentina,1.60E+18,2022-11-28 18:37:19+00:00,['1597298610680365056'],FALSE,Twitter for Android,pt,,,
1.45E+18,FALSE,Football & Witball ⚽🎩,FootballWitball,,"The official Twitter account of Argentina's top flight league made this 🔥

🇧🇩🇦🇷 https://t.co/CpM7WPtKwH",1.60E+18,2022-11-28 18:37:19+00:00,['1597298610110357505'],FALSE,Twitter for Android,en,,,
73151074,FALSE,Johnny,Chabasquen,"Medellín, Colombia",La pregunta es por que hay uniformes de Mexico donde esta Argentina??? No se supone que cada uno tiene su vestuario?? @fpetrocelli,1.60E+18,2022-11-28 18:37:19+00:00,['1597298608642326529'],FALSE,Twitter for Android,es,,,
1.59E+18,FALSE,Emily Oliveira,EmilyOl20328237,,@eas_info_br Um bando de esquerdopata aqui sem noção. Sem caráter. Vão comer lixos igual na Argentina seus lixos humanos,1.60E+18,2022-11-28 18:37:18+00:00,['1597298606499057664'],FALSE,Twitter for Android,pt,replied_to,,
1.55E+18,FALSE,Yan,Yancalopez1,"Santa Fé, Argentina",@carlit0_ame @aguerosergiokun A bueno argentina depende de si misma para ganar 😴,1.60E+18,2022-11-28 18:37:18+00:00,['1597298606205472768'],FALSE,Twitter for Android,es,replied_to,,
1.59E+18,FALSE,LiberalizAR,LiberalizAR23,"Buenos Aires, Argentina","@lucas_rukazu @sebastianOre65 @liberalona @SergioChouza Que lindo que uses la palabra casta, que lindo termino introdujo Javier en la política argentina. Milei faltó a 2 sesiones nada más. La cogida que se van a llevar en 2023 no tiene nombre, van a tener que laburar zurdos.",1.60E+18,2022-11-28 18:37:18+00:00,['1597298603638149121'],FALSE,Twitter for Android,es,replied_to,,
125530508,FALSE,🇧🇷¡Vamos Seleção!🇧🇷,mikey_esquire,,"The German fans twitter about Brazil while holding a candle light prayer meeting for their team, the Argentina fans tweeting about Brazil after getting shalacked by Abdul who plays 5 aside football on a Sunday after prayers. 

I...maybe u guys need to focus.",1.60E+18,2022-11-28 18:37:17+00:00,['1597298598886387712'],FALSE,Twitter for iPhone,en,,,
523369029,FALSE,ElYayoClaudio,ElYayoClaudio,#HalaMadridYNadaMas/#APorLa15,"@Atheist_Rohan @FIFAWorldCup Compare with #qat Coddled since birth,they don't want for anything. Anything at all.Brasil and Argentina and their best examples are Pele and Maradona: They came from the most humble beginnings to inspire a whole nation who saw and see them as examples #ElYayoClaudioLessons #FIFA",1.60E+18,2022-11-28 18:37:16+00:00,['1597298597414207488'],FALSE,Twitter for Android,en,replied_to,,
1.32E+18,FALSE,Lucas Dores,LucasDores2,,"@gonchobanzas @Canelo Nadie lo banca a ese tarado, no lo conocía nadie hasta ayer y tiene nombre de comida, pisa argentina y entre 10 solo 10 le damos masa",1.60E+18,2022-11-28 18:37:16+00:00,['1597298596990550016'],FALSE,Twitter for iPhone,es,replied_to,,
1.43E+18,FALSE,MexFutbol,Foot_Ame,,"@Oval_Wongy ese es el problema para Canelo …vean este video, única camiseta en el piso … 🤷🏽‍♂️ 
https://t.co/7hMOH1zj22",1.60E+18,2022-11-28 18:37:16+00:00,['1597298596545982464'],FALSE,Twitter for iPhone,es,replied_to,,
81973545,FALSE,richard do hexa 🇧🇷,richardtupy,Brasília/DF  ⚡,Ítalo Sena na Argentina é entretenimento puro kkkkkkkkkk,1.60E+18,2022-11-28 18:37:15+00:00,['1597298593064693760'],FALSE,Twitter for iPhone,pt,,,
1.36E+18,FALSE,jvvjj2,jvvjj21,,@MiguelCARP81 @Xevette_ @TiuXandi @nocontextfooty Pero quantas copas tienes Argentina? 🤣🤣,1.60E+18,2022-11-28 18:37:14+00:00,['1597298590418104320'],FALSE,Twitter for iPhone,es,replied_to,,
