,text
0,@burrovan Argentina 🇦🇷!!! Brazil 🇧🇷!!!
1,@Politica_ln Outburst? Against Argentine society??? Hahahaha...He only tells the truth. I totally agree with the words of Luis Juez
2,I was going to tell my brother CE VIU NE THE ITALO IS IN ARGENTINA and my brother laughing saying I know I just left because I was very ashamed of others
3,"@Canelo these are Argentina, they touch Messi, they touch the country. Don't hate the fart, look closely, ask. Arguing for nothing."
4,"@cdl522 @SizweLo I don't have google, I live in Argentina and I know 97% of the population is not white. Are you really trying to explain what my race is? Do they look white to you? https://t.co/HNwLQSQaqt"
5,"@porquetendencia 1-0 to Switzerland that has nothing, if it had been Argentina they would still be bitching at the players. How they like to suck Brazil"
6,@jamrick_ @itsjackfr At the end of the day argentina will be the winner🤣
7,@SeUruguay And Argentina in the first 10 how sad
8,@leevokz fun fact is argentinian although he was living in england I think and I listened to his music because one day he appeared on my fyp
9,"@sweetboyjk noo i meant that if you beat your opponent in the R16 and france beat argentina in the R16, we’re mostly likely going to meet in the quarters 💀"
10,I'm still recovering from the hangover from the Argentina game
11,"The official Twitter account of Argentina's top flight league made this 🔥

🇧🇩🇦🇷 https://t.co/CpM7WPtKwH"
12,The question is why there are uniforms from Mexico where Argentina is??? Isn't everyone supposed to have their wardrobe? @fpetrocelli
13,"@eas_info_br A bunch of clueless lefties here. No character. They will eat garbage like in Argentina, your human garbage"
14,"@carlit0_ame @aguerosergiokun Well, Argentina depends on itself to win 😴"
15,"@lucas_rukazu @sebastianOre65 @liberalona @SergioChouza How nice that you use the word casta, what a nice term Javier introduced into Argentine politics. Milei missed 2 sessions nothing more. The fuck that they are going to take in 2023 has no name, they are going to have to work left-handed."
16,"The German fans twitter about Brazil while holding a candle light prayer meeting for their team, the Argentina fans tweeting about Brazil after getting shalacked by Abdul who plays 5 aside football on a Sunday after prayers. 

I...maybe u guys need to focus."
17,"@Atheist_Rohan @FIFAWorldCup Compare with #qat Coddled since birth,they don't want for anything. Anything at all.Brasil and Argentina and their best examples are Pele and Maradona: They came from the most humble beginnings to inspire a whole nation who saw and see them as examples #ElYayoClaudioLessons #FIFA"
18,"@gonchobanzas @Canelo Nobody banks that moron, nobody knew him until yesterday and he has a name for food, he steps on Argentina and between 10 only 10 give him dough"
19,"@Oval_Wongy that's the problem for Canelo…watch this video, only shirt on the floor… 🤷🏽‍♂️
https://t.co/7hMOH1zj22"
20,Ítalo Sena in Argentina is pure entertainment kkkkkkkkkk
21,@MiguelCARP81 @Xevette_ @TiuXandi @nocontextfooty But how many drinks do you have Argentina? 🤣🤣
22,@RickyAvalos713_ @Canelo We had justin literally wipe the floor with our flag at a recital. And he returned to Argentina.
23,@futebol_info this photo alone is bigger than all of Argentina
24,@nijayoteh I could eliminate Argentina indirectly 😅 if they don't beat Poland
25,@Matticastro @leonelito_21 @lautarocabral86 @ErnestoAmador I kept sucking Messi's dick and Argentina piece of lining
26,The guys in Argentina falling for Italo Sena's pranks can't do it 🤣🤣🤣🤣🤣
27,@heppelltron Italy - Argentina - Iran - Norway 😎
