,location,name,username,user_id,verified,source,lang,text,possibly_sensitive,edit_history_tweet_ids,tweet_id,created_at,type,geo.coordinates.type,geo.coordinates.coordinates
0,Ciudad de México,SoyReferee,SoyReferee,3015478162.0,True,TweetDeck,es,"OH WOW! 😅

Ricardo La Volpe and Mauro Camoranesi starred in a fun moment when they discussed the importance of the #SeleccionMexicana reaching the fifth game in #Qatar2022 🇲🇽

They also sent a harsh message to Liga MX 👀

https://t.co/GMzKDhEbbY",False,['1597300604732379143'],1.6e+18,2022-11-28 18:45:15+00:00,,,
1,Mexico,Imagen Deportes,ImagenTVDeporte,7.81e+17,True,Yuzzit Pro,es,"Many fans of the #SelecciónMexicana are selling their tickets for the #Mexico vs #SaudiArabia game.

#AllAboutQatar https://t.co/ICrv7e6OtY",False,['1597298887953350657'],1.6e+18,2022-11-28 18:38:25+00:00,,,
2,Aún sin lugar fijo,Manuel Vega,_ManuelV_,7.2e+17,False,Twitter Web App,es,"Meanwhile, the little princesses of the misnamed #SeleccionMexicana only have in mind to photograph themselves and their relatives with the players who do score goals
But hey, what can be expected if the fans will still receive them as if they were returning with the #WorldCup
@miseleccionmx https://t.co/j8GkJhZ62X",False,['1597298589503746048'],1.6e+18,2022-11-28 18:37:14+00:00,quoted,,
3,Cdmx,Pablo Arteaga,PabloAr79006828,1.18e+18,False,Twitter for Android,es,"Send us one for the #SeleccionMexicana and one for the @FEMEXFUTAC teams, why don't they give one for the forwards! https://t.co/5oc1AnzRb3",False,['1597298469970284544'],1.6e+18,2022-11-28 18:36:46+00:00,quoted,,
4,"Portales Norte, Benito Juárez",Mexicano Irreverente,Elmexicanissimo,1.33e+18,False,Twitter for Android,es,"It was seen coming! Didn't you notice?
Tata came on vacation, just like Eriksson in 2008, the difference is that Eriksson was sent to hell in 10 months and the tata has been living for almost 3 years.
#SeleccionMexicana #mexico #Qatar2022 #Mundial2022",False,['1597297552654995456'],1.6e+18,2022-11-28 18:33:07+00:00,,,
5,México,MexNews Digital ,mexnewz,2674163930.0,False,RADAAR,es,#CaneloÁlvarez warns #Messi on social media for kicking the #MexicanSelection shirt | #Sports #National #International #Canelo #Qatar2022 https://t.co/92YtWDitYh https://t.co/7iTbyAuW93,False,['1597297103239118848'],1.6e+18,2022-11-28 18:31:20+00:00,,,
6,"Monterrey, México",INFO7,info7mty,65579025.0,True,Twitter Web App,es,"After threatening Messi, Sergio 'Kun' Agüero and Cesc Fabregas respond to 'Canelo' Álvarez.
https://t.co/NppixxwYeJ

#INFO7 #INFO7Deportes #Canelo #Messi #CopaMundialFIFA #Mundial2022 #SeleccionArgentina #seleccionmexicana https://t.co/VCrudpTl4H",False,['1597295883389128704'],1.6e+18,2022-11-28 18:26:29+00:00,,,
7,"Puebla, México",Leo Saurio 🦖,Leospezia,9.23e+17,False,Twitter Web App,es,Tell me if you don't miss this Chicharito legend in the lead of Mexico? #Failure #Tata #YonDeLuisa #SeleccionMexicana https://t.co/8qdQMp06Sz,False,['1597295383818141696'],1.6e+18,2022-11-28 18:24:30+00:00,,,
8,"Suchue, Gro. Méx.",1̴̸̴̡̢̛͎̖̟̣̗̣̗͈͍̯̖̰͎̝͛̑̄͆͊̐̽̀̔̇̓͒̈́̅̾ۗۗۗ͘̕1̴̛͛̑̄ۗۗ,tlacoache_mx,1.17e+18,False,Twitter Web App,es,Lamediocre #SeleccionMexicana to the #Brazil National Team already in the round of 16. https://t.co/rhisRaKL2h,False,['1597295383302242304'],1.6e+18,2022-11-28 18:24:30+00:00,,,
9,,Lic Perafán,Lic_Perafan,486084607.0,False,Twitter Web App,es,Argentine actor responds to Canelo Álvarez and defends Messi for trampling on the Mexican shirt in Qatar /ag4R0d4s80,False,['1597295123187978241'],1.6e+18,2022-11-28 18:23:28+00:00,,,
10,"Puebla, México",El Universal Puebla,UniversalPuebla,1.36e+18,False,Yuzzit Pro,es,"The #MexicanSelection reaches 384 minutes without scoring a goal.
#AllAboutQatar https://t.co/owfNcj5i9Q",False,['1597292445514944512'],1.6e+18,2022-11-28 18:12:49+00:00,,,
11,"San Luis Potosí, México",Plano Deportivo,PlanoDeportivo,974896970.0,False,Twitter Web App,es,"🥊😡 El Canelo enraged! Explode against Messi 🇦🇷 for the #Mexican Selection shirt 🇲🇽
https://t.co/LsEiTnj78e",False,['1597292423608422402'],1.6e+18,2022-11-28 18:12:44+00:00,,,
12,"Monterrey, Nuevo León, México",@TODUPNews,TODUPNews,2453177977.0,False,TweetDeck,es,"While there is life, there is hope. Memo Ochoa sends a message of optimism, prior to his last match in the World Cup Group Phase

The details: https://t.co/lNu4teJcbt
#MEX #SelecciónMexicana #Qatar2022 https://t.co/sWh3Q1a3xD",False,['1597291981281153027'],1.6e+18,2022-11-28 18:10:59+00:00,,,
13,"México, D.F.",SenderoArtesMarciales,SenderoArtesMar,1517755890.0,False,Blog2Social APP,es,"The Mexican National Team defined the future of Gerardo Martino

#GerardoMartino #Mexico #SelecciónMexicana #Tricolor

https://t.co/mJS8C4HM2Q",False,['1597291524185890819'],1.6e+18,2022-11-28 18:09:10+00:00,,,
14,"Puebla, México",Periódico e-consulta,e_consulta,25695532.0,True,Twitter Web App,es,"A great harvest of medals 🎉 achieved the #MexicanSelection 🇲🇽 of #Judo in the Qualifying Event for the XXIV Central American and Caribbean Games San Salvador 2023, winning eight medals and placing 2nd in the medal table 😍❤️👏👍https:/ /t.co/5YaauruxgS @cp_judo @CONADE @COM_Mexico",False,['1597290884735062016'],1.6e+18,2022-11-28 18:06:37+00:00,,,
