,name,username,user_id,verified,location,source,lang,text,possibly_sensitive,edit_history_tweet_ids,tweet_id,created_at,type
0,WGR,jegalindoromo,2810171168.0,False,,Twitter for Android,es,@spawnmx @miseleccionmx @HenryMartinM Let's hope that the Arabs give @miseleccionmx the opportunity to play a fifth game (goalless in consecutive World Cup matches),False,['1597299706346233856'],1597299706346233856,2022-11-28 18:41:41+00:00,replied_to
1,Giovani Gonzalez,shawn198712,3321397194.0,False,"Nezahualcóyotl, México",Twitter for Android,es,"@HenryMartinM @HHerreramex @HirvingLozano70 @AGuardado18 @Raul_Jimenez9 Hey bastards Don't pay attention to the coach in this last game of @miseleccionmx, they are his tactical approach, play with claws and dedication, even if it's this game, leave the Mother. For dignity I ask you",False,['1597299654286196736'],1597299654286196736,2022-11-28 18:41:28+00:00,
2,Alviore de Röel,Beleashar,475925738.0,False,Entre el mundo real e irreal,Twitter Web App,es,@RaulOrvananos @miseleccionmx How did you do everything to not beat or at least tie Argentina? 😒,False,['1597299641258692608'],1597299641258692608,2022-11-28 18:41:25+00:00,replied_to
3,Tyler Durden,Homelando_Landa,1.557768428827689e+18,False,,Twitter for Android,es,@synthpreacher @shop350 @MGnano2k @miseleccionmx @Lc24C He made the changes very late,False,['1597299593641066496'],1597299593641066496,2022-11-28 18:41:14+00:00,replied_to
4,B TO,Betoaguilera21P,846505699.0,False,"Miguel Hidalgo, Distrito Feder",Twitter for Android,qme,@RaulOrvananos @miseleccionmx https://t.co/EX0qn3e0sc,False,['1597299536862806016'],1597299536862806016,2022-11-28 18:41:00+00:00,replied_to
5,Erick Villagrán Galindo,erickfvg91,1.5835500503025664e+18,False,,Twitter for Android,es,"@miseleccionmx Don't ever play garbage Jiménez, or trunk Alvarado",False,['1597299534547529729'],1597299534547529729,2022-11-28 18:41:00+00:00,replied_to
6,Cristian RN,Cristian_RN94,1.0116804153906913e+18,False,"Acámbaro, Guanajuato",Twitter for Android,ca,@miseleccionmx @HenryMartinM Run to the father,False,['1597299470089486337'],1597299470089486337,2022-11-28 18:40:44+00:00,replied_to
7,Eduardo Salgado,pepez1,241959616.0,False,,Twitter for Android,es,@miseleccionmx Come on.,False,['1597299460748345344'],1597299460748345344,2022-11-28 18:40:42+00:00,replied_to
8,Mr. Perfecto,JCabreras95,177263926.0,False,,Twitter for iPhone,es,@miseleccionmx What has he been doing so long 🌳 on the court??????,False,['1597299459373010945'],1597299459373010945,2022-11-28 18:40:42+00:00,replied_to
9,Treinta-ñero,kronstel,1.343551472043176e+18,False,,Twitter for Android,es,@isaactuit @miseleccionmx @UnVasoDeLALA @NotiTuit @SORIANAhiper Messi: with those you mop well chingon,False,['1597299369715593216'],1597299369715593216,2022-11-28 18:40:20+00:00,replied_to
10,adrian delgado,adriandelgadobe,173277355.0,False,piedras negras,Twitter for Android,es,"@BackchatQueen @El_Rick_Sanchez @B0RRACHIT0 @miseleccionmx @fifaworldcup_es @yosoy8a I said it very clearly, it's a stupid comment, on notice there is no deception",False,['1597299362589470720'],1597299362589470720,2022-11-28 18:40:19+00:00,replied_to
11,Antonio Salazar,hantonsalazar,219111648.0,False,,Twitter for iPhone,es,@miseleccionmx I hope they lose. I wish you with all my heart,False,['1597299333267091458'],1597299333267091458,2022-11-28 18:40:12+00:00,replied_to
12,Oyp,olipyp_oyp,1196791502.0,False,"Houston, TX",Twitter for iPhone,es,"@RicardoBSalinas @miseleccionmx To date, @Mdwiz87 has been a great inspiration to me and my family. To start with I invested $2000 in Bitcoin and after 24 hours I got $9000 in profit in my Bitcoin wallet, its accuracy and reliability cannot be compromised.",False,['1597299324441853952'],1597299324441853952,2022-11-28 18:40:09+00:00,replied_to
13,"Puma de Gerli, El pela!!!",elpumadegerli,2679759686.0,False,"Avellaneda, Argentina",Twitter for Android,es,"@miseleccionmx @webcamsdemexico @mexico
Don't believe everything you see.
Twitter is full of lies and bad intentions. https://t.co/lkGTZiLptZ",False,['1597299320210227200'],1597299320210227200,2022-11-28 18:40:08+00:00,quoted
14,Papá Peyo,pedrocaudillo,855255266.0,False,,Twitter for iPhone,es,"And on Thursday come back @miseleccionmx
Will they make it to #Chaifa?

I imagine that Martino is going to arrive directly in Buenos Aires.",False,['1597299313943916545'],1597299313943916545,2022-11-28 18:40:07+00:00,
15,Fede Ratas🆗,debiponerotro,7.725929671357194e+17,False,"Mar del Plata, Argentina",Twitter for Android,es,@LucasFdzCABJ @miseleccionmx @HenryMartinM You already ate starving Argentine,False,['1597299305198809088'],1597299305198809088,2022-11-28 18:40:05+00:00,replied_to
16,Rotten Rothko,synthpreacher,760759812.0,False,Soy de Metapan y voy a Taxco,Twitter for Android,es,@ANTICAPITALIS9A @miseleccionmx Karadagián beat the Black Mummy and Canelo would not have lasted two rounds.,False,['1597299302786662401'],1597299302786662401,2022-11-28 18:40:04+00:00,replied_to
17,Diario Nuevo Día,nuevodiaenlinea,193504277.0,True,Estado Falcón - Venezuela,Twitter for Android,es,@Homelando_Landa @shop350 @MGnano2k @miseleccionmx @Lc24C Or the changes to end the game 👌🏼,False,['1597299291064008704'],1597299291064008704,2022-11-28 18:40:02+00:00,replied_to
18,oscar,enfadosoinc,1.3165555032672788e+18,False,,TweetDeck,es,"#NewDay | 👉🇲🇽🇦🇷This was @Canelo's threat against #Messi @fifaworldcup_es, @Argentina @miseleccionmx

#CaneloVsMessi #canelomessi #MexicoVsArgentina
#NewsFalcon

More information HERE 👇
https://t.co/4qK6DqD9F1 https://t.co/Loc5unfPP4",False,['1597299283853656066'],1597299283853656066,2022-11-28 18:40:00+00:00,
19,🏁 DUB-Shop Club 🏎,CaafFdez1989,2337233802.0,False,,Twitter for iPhone,es,"@geo_jerry @miseleccionmx Until we stop overvaluing players who haven't done anything.
In Brazil, until they win something, in Europe nobody knows them.
In Mexico they win the promotion and they already put a pedestal on it.",False,['1597299236755734528'],1597299236755734528,2022-11-28 18:39:49+00:00,replied_to
20,Luis M. Renteria,LuiskRF,98202182.0,False,,Twitter for iPhone,es,"@medranoazteca Sit down for a while, to glimpse what the @miseleccionmx will present!!! 😬😬😬",False,['1597299190559752192'],1597299190559752192,2022-11-28 18:39:38+00:00,replied_to
21,nicolas delbart,NicoGranatee,709090099.0,False,"Lanús, BS AS, Argentina",Twitter for iPhone,es,"@azulycrema17 @miseleccionmx Arteaga for dark, right?",False,['1597299161304817664'],1597299161304817664,2022-11-28 18:39:31+00:00,replied_to
22,Eduardo Romero Fernández,Eduardo63851486,1.5408314013517169e+18,False,,Twitter for Android,qme,@miseleccionmx @Lc24C https://t.co/XNNGpsP427,False,['1597299089590263808'],1597299089590263808,2022-11-28 18:39:13+00:00,replied_to
23,Claypole City,NachitoBullicio,1518637981.0,False,Brick by Brick ,Twitter for Android,es,@miseleccionmx @HenryMartinM Take out the vegetable Jiménez please,False,['1597299014059569153'],1597299014059569153,2022-11-28 18:38:55+00:00,replied_to
24,Agustín Del Bosque,AgustinDelBosq,994103803.0,False,México,Twitter for Android,es,@miseleccionmx @HenryMartinM In which business do you let your employee continue screwing up when you already saw that it harms your company? So why do you let that bastard continue?,False,['1597298984108068865'],1597298984108068865,2022-11-28 18:38:48+00:00,replied_to
25,cpauditor,cpauditor,1518585078.0,False,,Twitter for Android,es,"@miseleccionmx @Lc24C @miseleccionmx is it true that they are reselling tickets against the Arabs, why do people already want to return?",False,['1597298960322170881'],1597298960322170881,2022-11-28 18:38:43+00:00,replied_to
26,José Alejandro felix,JosAlej81698148,1.5941514556229837e+18,False,,Twitter for Android,es,"@shop350 @synthpreacher @MGnano2k @miseleccionmx @Lc24C I don't think Mexico will lose, at least they shouldn't, unless the tata puts up the same formation he had against Argentina",False,['1597298956958339073'],1597298956958339073,2022-11-28 18:38:42+00:00,replied_to
27,James Thin,Jaime364971972,1.5269309980630098e+18,False,,Twitter for Android,in,@miseleccionmx Support.,False,['1597298931201085441'],1597298931201085441,2022-11-28 18:38:36+00:00,replied_to
28,Fresero 🍓❤️,fresero011,1859494122.0,False,Cd De La Fresa ,Twitter Web App,es,@eMe_12_ @Argentina @Canelo @FMF @miseleccionmx stop saying blowjobs!!!! she was taking off her fucking shoes!!!,False,['1597298925597523968'],1597298925597523968,2022-11-28 18:38:34+00:00,replied_to
29,Uriel Ga-Di,UrielGaDi,91726130.0,False,México,Twitter Web App,es,"@miseleccionmx I think your bags are already packed, for when you lose, take the first available flight. https://t.co/gLhFkpRtyf",False,['1597298921080250368'],1597298921080250368,2022-11-28 18:38:33+00:00,replied_to
30,Eddie,EddieHermida10,1.4483804027295703e+18,False,,Twitter for Android,es,@miseleccionmx @HenryMartinM Let's go Mexican team,False,['1597298830655250432'],1597298830655250432,2022-11-28 18:38:12+00:00,replied_to
31,joel salazar chavez,explosivojoe,186495865.0,False,colima,Twitter for Android,es,@miseleccionmx Pure blowjobs with you,False,['1597298828222562305'],1597298828222562305,2022-11-28 18:38:11+00:00,replied_to
