,text
0,"#SeleccionMexicana #Qatar2022 🇶🇦

Televisa once again beat TV Azteca; Mexico-Argentina, the most watched game in history https://t.co/YH0NynrDMS"
1,"OH WOW! 😅

Ricardo La Volpe and Mauro Camoranesi starred in a fun moment when they discussed the importance of the #SeleccionMexicana reaching the fifth game in #Qatar2022 🇲🇽

They also sent a harsh message to Liga MX 👀

https://t.co/GMzKDhEbbY"
2,"Many fans of the #SelecciónMexicana are selling their tickets for the #Mexico vs #SaudiArabia game.

#AllAboutQatar https://t.co/ICrv7e6OtY"
3,"Meanwhile, the little princesses of the misnamed #SeleccionMexicana only have in mind to photograph themselves and their relatives with the players who do score goals
But hey, what can be expected if the fans will still receive them as if they were returning with the #WorldCup
@miseleccionmx https://t.co/j8GkJhZ62X"
4,"Send us one for the #SeleccionMexicana and one for the @FEMEXFUTAC teams, why don't they give one for the forwards! https://t.co/5oc1AnzRb3"
5,"It was seen coming! Didn't you notice?
Tata came on vacation, just like Eriksson in 2008, the difference is that Eriksson was sent to hell in 10 months and the tata has been living for almost 3 years.
#SeleccionMexicana #mexico #Qatar2022 #Mundial2022"
6,#CaneloÁlvarez warns #Messi on social media for kicking the #MexicanSelection shirt | #Sports #National #International #Canelo #Qatar2022 https://t.co/92YtWDitYh https://t.co/7iTbyAuW93
7,"After threatening Messi, Sergio 'Kun' Agüero and Cesc Fabregas respond to 'Canelo' Álvarez.
https://t.co/NppixxwYeJ

#INFO7 #INFO7Deportes #Canelo #Messi #CopaMundialFIFA #Mundial2022 #SeleccionArgentina #seleccionmexicana https://t.co/VCrudpTl4H"
8,Tell me if you don't miss this Chicharito legend in the lead of Mexico? #Failure #Tata #YonDeLuisa #SeleccionMexicana https://t.co/8qdQMp06Sz
9,Lamediocre #SeleccionMexicana to the #Brazil National Team already in the round of 16. https://t.co/rhisRaKL2h
10,Argentine actor responds to Canelo Álvarez and defends Messi for trampling on the Mexican shirt in Qatar /ag4R0d4s80
11,"The #MexicanSelection reaches 384 minutes without scoring a goal.
#AllAboutQatar https://t.co/owfNcj5i9Q"
12,"🥊😡 El Canelo enraged! Explode against Messi 🇦🇷 for the #Mexican Selection shirt 🇲🇽
https://t.co/LsEiTnj78e"
13,"While there is life, there is hope. Memo Ochoa sends a message of optimism, prior to his last match in the World Cup Group Phase

The details: https://t.co/lNu4teJcbt
#MEX #SelecciónMexicana #Qatar2022 https://t.co/sWh3Q1a3xD"
14,"The Mexican National Team defined the future of Gerardo Martino

#GerardoMartino #Mexico #SelecciónMexicana #Tricolor

https://t.co/mJS8C4HM2Q"
15,"A great harvest of medals 🎉 achieved the #MexicanSelection 🇲🇽 of #Judo in the Qualifying Event for the XXIV Central American and Caribbean Games San Salvador 2023, winning eight medals and placing 2nd in the medal table 😍❤️👏👍https:/ /t.co/5YaauruxgS @cp_judo @CONADE @COM_Mexico"
16,"#Video || 🫣 What is the ""curse of the fifth game"" for the #MexicanSelection in the World Cups?
https://t.co/16IGVuOuD1"
17,@espinosa_cla What else can you expect from the #SeleccionMexicana
18,"How sad it is to have another favorite team that is not your @miseleccionmx but they have never really served! Unfortunately 😢😪 they support him but they never give us anything in return, only disappointments #SeleccionMexicana"
19,"🚨 Deporfans, do you want to win an official shirt of the Mexican National Team? 👕🇲🇽

➡️ Follow the steps explained in the image and be one of the winners 🎁👏

Link to participate 👉 https://t.co/6PS6AoRD2x

#DeportreceLaVozDeTuPasion #SeleccionMexicana https://t.co/feyf5PJAsH"
20,@mejorespatadas1 dominates it and hits it better than many of the #SeleccionMexicana
21,"1st Brazil goal at minute 85 Vs Switzerland.

If Brazil has serious problems, Piojo Alvarado and Antuna should not have problems to score a goal.

#Mexican team"
22,"@GiovaHDZc9 @Faitelson_ESPN Haha 😜 #messi needed to take vitamins, always from #Iniesta and #Xavi to form his career, today help from #TataMartino to eliminate one of the worst #SeleccionMexicana.

How well you say #Ronaldinho who gave him his first goal and showed him how to dribble he played drunk."
23,"Mexican soccer lives up to its investment in players and its growth and long-term support, the generation of our #SeleccionMexicana does not have the level to compete internationally."
24,"Who is to blame for Mexico's poor performance in Qatar 2022?

#Qatar2022 #SeleccionMexicana #TataMartino https://t.co/SlUZXMC2Ws"
25,"The #MexicanSelection still hasn't scored a single goal in #Qatar, but the ones who keep scoring are the Mexican fans and the leading scorer is called Yahir, ""the horn man""...
 
@LopezOlvera with the information.

#AbreLosOjos #ImagenNoticias with @franciscozea @imagenZea https://t.co/5UgM6Icxjn"
26,"Mexican National Team: Whose Mexico shirt did Messi ""kick""?
#Messi #Messico #SeleccionMexicana #SeleccionArgentina #MexicovsArgentina #ArgentinavsMexico #leomessi10
#MundialQatar2022 #MundialQatar #Qatar2022 #QatarWorldCup2022 https://t.co/u2E9b8JSNm"
27,"Mexican National Team: Guillermo Ochoa 'shows his face' and sends a message to the fans

#SeleccionMexicana #SeleccionArgentina #MexicovsArgentina #ArgentinavsMexico
#MundialQatar2022 #MundialQatar #Qatar2022 #QatarWorldCup2022 #QatarWorldCup22 #Qatar22
https://t.co/VvPKnZbmLt"
28,Do you still have doubt? #SeleccionArgentina #SeleccionMexicana @fifaworldcup_es Is that really your idol? https://t.co/PwuhRsvwpc
29,"Fan explodes due to the absence of Acevedo and other players in Qatar

#goal #sports #SelecciónMexicana https://t.co/iiFvYDBKr1"
30,"It takes more than a miracle for the Mexican National Team to advance to the next round of the World Cup 😳🙏🏻🇲🇽

#Qatar2022 #SeleccionMexicana https://t.co/2vaGXEEE59"
31,"#Mexican Selection | #Qatar2022

Two days away from the big day!

Start of the week for @miseleccionmx and work ahead of Wednesday's game against #KSA.

#MEX needs a victory to dream of the round of 16. https://t.co/RpFAe6FcGe"
32,@Canelo #Canelo #SeleccionMexicana https://t.co/1MJj1AreWN
33,"Write it down well, Tata 🇲🇽📝 https://t.co/CebaRYTJW0"
34,"Great controversy, lack of respect towards #Mexico #MexicoSeleccion by number 10 of the #SeleccionArgentina #Messi. For those who think that it is a lie, I open a thread of occasions in which #messi has damaged and mocked the 3rd team https://t.co/IZdfpfuHtC"
35,"VIDEO | @lupisflowers14, the journalist who chased Cuauhtémoc Blanco and #Maradona until she managed to have them for her camera

https://t.co/hAsu4IsafE

#CuauhtemocBlanco #SeleccionMexicana #Qatar2022 https://t.co/ek0Kg00cK8"
36,"Everything indicates that Andrés Guardado finished his participation in #Qatar2022 and also his career with the #SeleccionMexicana 🗣️‼️

Different media reported that the 36-year-old player suffered a strain in his right leg, for which he will be out for at least 20 days.

#Qatar https://t.co/4xIGoA08rV"
37,"What does Mexico need to compete in the World Cups?
That @Televisa stop managing Mexican soccer at will
#SeleccionMexicana https://t.co/DQJWxsLc8s"
38,"@adrenalina @SFuentes08 The only solution to all this disaster of the Mexican team is the Mexican fans themselves, if you want to have the hope of seeing Mexico go to the fifth game MY DEAR MEXICAN FANS, YOU COMMAND RAISE YOUR VOICE AND TAKE YON OUT OF LUISA HE IS THE GUILTY OF EVERYTHING"
39,ANDRÉS GUARDADO WILL NOT PLAY AGAINST SAUDI ARABIA THIS WEDNESDAY // #Qatar2022 #futbol⚽️ #internacional #QATAR #guardado #seleccionmexicana #noticias #eldato https://t.co/NeQaNXYsZd
40,Who can be Mexico's rival if they advance to the Round of 16 of the Qatar 2022 World Cup? 🇲🇽👀 https://t.co/0qHHngEnIC
41,"Leaving aside the blowjobs of #caneloalvarez
Weyes, now we are all Poles 🤣🤣🤣🤣 Come on Poland, break Argentina's ass so we can qualify 😞 (if we beat Arabia 🤣
#SeleccionArgentina #SeleccionMexicana #Polonia #Mundial2022 #Qatar2022 https://t.co/IrtgOPuOOm"
42,"With forbidden photos, Suzy Cortez comforts the Mexican National Team
@SuzyCortez_ #SuzyCortez
#SeleccionMexicana #SeleccionArgentina #MexicovsArgentina #ArgentinavsMexico
#MundialQatar2022 #MundialQatar #Qatar2022 #QatarWorldCup2022 #QatarWorldCup22
 https://t.co/GoyeqApaR7"
43,The #SeleccionMexicana makes it clear that the crisis that exists in our country consumes everything... even soccer.
44,"#Viral 😱🤔 The star player of #Argentina, Lionel #Messi was caught allegedly kicking the shirt of the #Mexican Selection
https://t.co/YJho3oEu1b"
45,"Now @Canelo don't suck 😞 stop humiliating us, apologize and close Twitter
#mexicoargentina #SeleccionArgentina #SeleccionMexicana"
46,"I just found out that the coach of the #SeleccionMexicana ""sold"" himself in the game, taking out important reinforcements because he is Argentine and tarara tarara... Can't we just accept that the team has no talent and that's it? Why are they still justified?"
47,"""You can't beat someone who doesn't know how to give up"": AMLO https://t.co/5keOqN1Jad
#Qatar
#Mexican team
#Soccer
#Soccer World Cup
#2022"
48,"Well, I barely saw that #Messi ""neighborhood"" the ground with the #SeleccionMexicana shirt and the truth is that whoever has taken the footage of that is a person who only wants to see the world burn, it is true that the shirt is in the ground (like many others), but from there to the other..."
49,"Personalized attention and solution in less than 72 hours.

#We Are MoreThanAProduct

#mundial #Qatar #MundialMéxico #Mundial2022 #SelecciónMexicana #partidosdeselección #México70 #mundialqatar2022 #mundiales #mundialqatar22 #crédito #líneadecrédito https://t.co/Icgmaaz4fb"
50,"ALL AGAINST 'CANELO'? 🤔

Cesc Fábregas also responded to the boxer from Guadalajara after threatening Messi for allegedly kicking the #SeleccionMexicana jersey in #Qatar2022 😳🇲🇽

https://t.co/wULj8diujw"
51,Shocking predictions gave us our beautiful @mhonividente in #ThisMorning by @heraldo_tv #Canelo #SeleccionMexicana #Chicharito #Sismo #AnimalesenCirculo #AndresGarcia #PoloniavsArgentina excellent way to start the week #MhonienThisTomorrow https://t.co/stvIiPp28M
52,"🥊 #ShowBiz | ""Let him ask God that I don't find him!"" declared #CaneloÁlvarez, after assuring that #Messi stepped on a #SeleccionMexicana shirt.🙀
https://t.co/yjukiiy9Zz https://t.co/WrkqzLvqTQ"
53,"Remember that we are broadcasting the World Cup matches so you can come join us. We are waiting for you!⚽🏆

#mrcoyoacán #mundialqatar #qatar2022 #fifa #copadelmundo #soccer #fútbolsoccer #méxico #selecciónmexicana #chuckylozano #foodmarket #mercadogastronómico #coloniaroma https://t.co/ILLRZ3ozfM"
54,"SAME VIBES

#Mexican team
#FIFAWorldCup
#Qatar2022 https://t.co/XIryEO9sdg"
55,"Since November 12, 2021, we knew that we would have the WORST world in history and now it turns out that it is the fault of the businessmen? Consistency please!!
#mexicoargentina #Mundial2022 #Salinas #mexicana #SeleccionMexicana
@RicardoBSalinas"
56,"🎙️ The message that Guillermo Ochoa sent to the Mexican fans 🇲🇽🙏

Deporfans, will you continue to believe until the end? 🤨💬

#miseleccionmx #Mexico #seleccionmexicana #FIFAWorldCup2022 #Qatar #FIFAWorldCup #Qatar2022 https://t.co/UYVUxhgrWx"
57,"What Messi did is disrespectful to all of Mexico, to those little ones who ask their parents for a shirt, to those parents who buy them a $100 shirt to those who spend up to $2,000 to feel pride, support, and passion for his country. #Mexican team"
58,"#Mexico falls to #Argentina and depends on different results to pass 🤨🗑.

#mexicoargentina #Tata #SeleccionMexicana #SeleccionArgentina
#Qatar2022

https://t.co/UW8Usi4AX3"
59,We appreciate the participation of our students in the UMA Quiniela and congratulate our winners. #Mundial2022 #Qatar2022 #MexicoVsArgentina #SeleccionMexicana #UniversidadMesoamericana #Cordoba #Alumnos https://t.co/dxwbhaDdZD
60,"Worry about the insecurity of your country ❎
Worrying about the level that your team gives in the World Cup❎
Worrying that Messi ""kicked"" a shirt x✅
#Canelo #SeleccionMexicana #Messi #Qatar2022 #blowjob"
61,@DimeChacon_ Those who are not ashamed are the national team #messi is doing his job #mexicanaselection
62,"The situation between the #MexicanSelection and Argentina after their match at the #MundialDeQatar2022 has crossed the field even with celebrities like #CaneloÁlvarez, this was what he sent him to say 👀😳🤯 ⚽️🥊

https://t.co/l4xafJbfNR"
63,As always gorgeous my friend @mhonividente in #ThisMorning by @heraldo_tv great predictions #Canelo #SeleccionMexicana #SeleccionArgentina #Animalescaminandoencirculos #Apocalipsis #SismoDiciembre #Chicharito https://t.co/Fhad5mdV6T
64,"The only thing that #caneloalvarez generates with his tweets about #Messi ""kicking"" the Mexico shirt, is to make us see how bad losers.
@Canelo stop humiliating us more!!!
#SeleccionMexicana #SeleccionArgentina #World"
65,"Relax guys.
To begin with, who was the groupie of the #SeleccionMexicana that ripped off the #Messi jersey?"
66,"The statistics play in favor of the Tri against rivals from Asia. #SelecciónMexicana #SelecciónArabiaSaudita #JustaMundialista #Qatar
#RBA
https://t.co/GJAH0B2aKX"
67,"Yes, the #SeleccionMexicana are assholes and the DT they have is an idiot but that is one thing and another for a big-nosed dwarf to make fun of our country, whether or not it is a national symbol but it is the shirt that many wear with pride and passion and makes it sacred"
68,That's right daddy!!! And an authorized voice said it. #Mundial2022 #SeleccionMexicana #mexicoargentina https://t.co/V8ObM4tG7v
69,"The former Mexican soccer player wants changes within the structures of the Liga MX after losing to Argentina in Qatar 2022
#QatarWorldCup2022 #Mexico #LigaMX #Hermosillo #FIFAWorldCupQatar2022
https://t.co/0iFAUL67JC"
70,"@ArinaDiadette @ErnestoAmador You know what's happening that you don't know how to hide the defeat and how bad the #Mexico team is that they need to create such unnecessary controversy to cover up the shame they cause, I'm talking about the #MexicanSelection"
71,"Guillermo Ochoa and his hopeful message for the Mexican fans

#Qatar2022 #FIFAWorldCup #SeleccionMexicana

https://t.co/Pq41gQFLHE https://t.co/0KPw2u4oYj"
72,"Knowing the results what Mexico needs to move to the next phase 😐 🤔

 My mind then later... 💭

#Mexico #QatarWorldCup2022 #MexicoVsArgentina #MexicoVsArabia #WorldCup #SeleccionMexicana #Tricolor https://t.co/FArrb4kEBq"
73,"🗣️ Memo Ochoa's words to the fans to keep believing 🇲🇽🧤

Deporfans, do you think the Mexican team can advance to the next round? 🤔💬

#Mundial #miseleccionmx #seleccionmexicana #FIFAWorldCup #Qatar2022

https://t.co/xhOzlrhOml"
74,"Just the same, fucking ridiculous... repeat after me, the #SeleccionMexicana shirt IS NOT A NATIONAL SYMBOL, get over it. #Qatar2022 #MEX 🙄😒 https://t.co/I6WgOOpSeg"
75,"Serious faces in the practice of the Tri at hours of crucial game in their aspirations. #Mexican National Team #World Fair #Training #Qatar
#RBA
https://t.co/1Gwx53tFx7"
76,"Some think that #Qatar2022 is like the #LigaBBVAMX that out of 18 teams, 16 has a chance to be champion 🙄the #SeleccionMexicana will give its worst World Cup. And that's not why I'm anti-patriotic."
77,"Mexico has a positive record facing Asian teams

#goal #sports #SelecciónMexicana https://t.co/F3d6dQZeeq"
78,"The #SeleccionMexicana must show better football before Saudi Arabia and not just ""give him a urge""
 ""You can't beat someone who doesn't know how to give up."" https://t.co/GVgwNVyuN0"
79,"""And how the hell are we going to do it if they don't score a goal?"" said the now governor of Morelos.

#FútbolMedia #SelecciónMexicana #Qatar2022 #cuautemocblanco"
80,"In the video you can see how the player's son appeared to keep Pereira away from the South American fans, as well as other Argentine fans intervened to calm the waters.

#FútbolMedia #SelecciónMexicana #SelecciónArgentina #jairpereira #Qatar2022"
81,It's good that the Mexican team is leaving the World Cup because even Africans and Asians would give us a dance HAHAHA #Qatar2022 #SeleccionMexicana #MexicoEnQatar
82,"Let's stop being stupid! #Messi Yes, he steps on and kicks the #miseleccionmx #SeleccionMexicana shirt that is used and done in soccer to humiliate the rival here the important thing is who does it and how! #Messi is a public figure, an example for millions of children"
83,"Mexico has been champion in #Taekwondo, #TiroConArco, #Fronton in recent days and the #SeleccionMexicana embarrassing in #Qatar2022 takes all the spotlights, other sports should be equally supported by the government, they stand up for the country ."
